season,competition,round,date,time,home,away,home_score,away_score,penalties,venue_side,attendance,report_url,match_id
2009-10,Coupe de France,6e tour,dim. 24/01/2010,00:00,Monaco,Lyon,2,1,non,E,4.818,/spielbericht/index/spielbericht/994068,994068
2009-10,Coupe de la Ligue,Quarts de finale,mer. 27/01/2010,17:00,FC Lorient,Lyon,1,0,non,E,16.758,/spielbericht/index/spielbericht/994381,994381
2009-10,Ligue 1,22,dim. 31/01/2010,21:00,Lyon,PSG,2,1,non,D,34.157,/spielbericht/index/spielbericht/958563,958563
2009-10,Ligue 1,23,dim. 07/02/2010,17:00,Toulouse,Lyon,0,0,non,E,21.218,/spielbericht/index/spielbericht/958576,958576
2009-10,Ligue 1,24,sam. 13/02/2010,21:00,Lyon,RC Lens,1,0,non,D,33.239,/spielbericht/index/spielbericht/958580,958580
2009-10,UEFA Champions League,Huitièmes de finale,mar. 16/02/2010,20:45,Lyon,Real Madrid,1,0,non,D,40.327,/spielbericht/index/spielbericht/988800,988800
2009-10,Ligue 1,25,dim. 21/02/2010,17:00,FC Sochaux,Lyon,0,4,non,E,14.768,/spielbericht/index/spielbericht/958596,958596
2009-10,Ligue 1,26,sam. 27/02/2010,19:00,Lyon,OGC Nice,2,0,non,D,33.593,/spielbericht/index/spielbericht/958601,958601
2009-10,Ligue 1,27,sam. 06/03/2010,19:00,US Boulogne,Lyon,0,0,non,E,12.358,/spielbericht/index/spielbericht/958613,958613
2009-10,UEFA Champions League,Huitièmes de finale,mer. 10/03/2010,20:45,Real Madrid,Lyon,1,1,non,E,71.569,/spielbericht/index/spielbericht/988803,988803
2009-10,Ligue 1,28,sam. 13/03/2010,21:00,Lyon,Saint-Étienne,1,1,non,D,33.019,/spielbericht/index/spielbericht/958619,958619
2009-10,Ligue 1,29,dim. 21/03/2010,21:00,Marseille,Lyon,2,1,non,E,52.557,/spielbericht/index/spielbericht/958632,958632
2009-10,Ligue 1,30,sam. 27/03/2010,17:00,Lyon,Grenoble,2,0,non,D,32.323,/spielbericht/index/spielbericht/958642,958642
2009-10,UEFA Champions League,Quarts de finale,mar. 30/03/2010,20:45,Lyon,G. Bordeaux,3,1,non,D,37.859,/spielbericht/index/spielbericht/1003663,1003663
2009-10,Ligue 1,31,sam. 03/04/2010,19:00,Stade Rennais,Lyon,1,2,non,E,28.244,/spielbericht/index/spielbericht/958651,958651
2009-10,UEFA Champions League,Quarts de finale,mer. 07/04/2010,20:45,G. Bordeaux,Lyon,1,0,non,E,34.694,/spielbericht/index/spielbericht/1003667,1003667
2009-10,Ligue 1,32,dim. 11/04/2010,17:00,Lyon,LOSC Lille,1,1,non,D,38.659,/spielbericht/index/spielbericht/958659,958659
2009-10,Ligue 1,33,sam. 17/04/2010,21:00,G. Bordeaux,Lyon,2,2,non,E,32.284,/spielbericht/index/spielbericht/958670,958670
2009-10,UEFA Champions League,Demi-finales,mer. 21/04/2010,20:45,Bayern,Lyon,1,0,non,E,66.000,/spielbericht/index/spielbericht/1005188,1005188
2009-10,UEFA Champions League,Demi-finales,mar. 27/04/2010,20:45,Lyon,Bayern,0,3,non,D,39.414,/spielbericht/index/spielbericht/1005190,1005190
2009-10,Ligue 1,35,dim. 02/05/2010,21:00,Montpellier,Lyon,0,1,non,E,25.767,/spielbericht/index/spielbericht/958690,958690
2009-10,Ligue 1,36,mer. 05/05/2010,19:00,Lyon,AJ Auxerre,2,1,non,D,36.262,/spielbericht/index/spielbericht/958698,958698
2009-10,Ligue 1,37,sam. 08/05/2010,21:00,Valenciennes FC,Lyon,2,2,non,E,13.206,/spielbericht/index/spielbericht/1019252,1019252
2009-10,Ligue 1,34,mer. 12/05/2010,19:00,Lyon,Monaco,3,0,non,D,38.432,/spielbericht/index/spielbericht/958681,958681
2009-10,Ligue 1,38,sam. 15/05/2010,21:00,Lyon,Le Mans UC 72,2,0,non,D,37.353,/spielbericht/index/spielbericht/1019256,1019256
2010-11,Ligue 1,1,sam. 07/08/2010,21:00,Lyon,Monaco,0,0,non,D,35.275,/spielbericht/index/spielbericht/1036778,1036778
2010-11,Ligue 1,2,dim. 15/08/2010,17:00,SM Caen,Lyon,3,2,non,E,19.937,/spielbericht/index/spielbericht/1039590,1039590
2010-11,Ligue 1,3,sam. 21/08/2010,19:00,Lyon,Stade Brestois,1,0,non,D,32.720,/spielbericht/index/spielbericht/1039594,1039594
2010-11,Ligue 1,4,sam. 28/08/2010,19:00,FC Lorient,Lyon,2,0,non,E,14.814,/spielbericht/index/spielbericht/1039685,1039685
2010-11,Ligue 1,5,sam. 11/09/2010,19:00,Lyon,Valenciennes FC,1,1,non,D,35.925,/spielbericht/index/spielbericht/1039696,1039696
2010-11,UEFA Champions League,Phase de groupe,mar. 14/09/2010,20:45,Lyon,FC Schalke 04,1,0,non,D,35.552,/spielbericht/index/spielbericht/1050070,1050070
2010-11,Ligue 1,6,dim. 19/09/2010,21:00,G. Bordeaux,Lyon,2,0,non,E,29.890,/spielbericht/index/spielbericht/1040689,1040689
2010-11,Ligue 1,7,sam. 25/09/2010,21:00,Lyon,Saint-Étienne,0,1,non,D,39.408,/spielbericht/index/spielbericht/1040695,1040695
2010-11,UEFA Champions League,Phase de groupe,mer. 29/09/2010,20:45,Hapoel Tel Aviv,Lyon,1,3,non,E,12.226,/spielbericht/index/spielbericht/1050094,1050094
2010-11,Ligue 1,8,sam. 02/10/2010,19:00,AS Nancy,Lyon,2,3,non,E,17.252,/spielbericht/index/spielbericht/1040704,1040704
2010-11,Ligue 1,9,dim. 17/10/2010,21:00,Lyon,LOSC Lille,3,1,non,D,34.976,/spielbericht/index/spielbericht/1040715,1040715
2010-11,UEFA Champions League,Phase de groupe,mer. 20/10/2010,20:45,Lyon,Benfica,2,0,non,D,39.427,/spielbericht/index/spielbericht/1050110,1050110
2010-11,Ligue 1,10,dim. 24/10/2010,17:00,AC Arles-Avignon,Lyon,1,1,non,E,11.547,/spielbericht/index/spielbericht/1040720,1040720
2010-11,Coupe de la Ligue,Huitièmes de finale,mer. 27/10/2010,20:45,Lyon,PSG,1,2,non,D,26.587,/spielbericht/index/spielbericht/1055905,1055905
2010-11,Ligue 1,11,sam. 30/10/2010,19:00,Lyon,FC Sochaux,2,1,non,D,33.992,/spielbericht/index/spielbericht/1040734,1040734
2010-11,UEFA Champions League,Phase de groupe,mar. 02/11/2010,20:45,Benfica,Lyon,4,3,non,E,37.394,/spielbericht/index/spielbericht/1050119,1050119
2010-11,Ligue 1,12,sam. 06/11/2010,21:00,Stade Rennais,Lyon,1,1,non,E,28.357,/spielbericht/index/spielbericht/1040746,1040746
2010-11,Ligue 1,13,dim. 14/11/2010,21:00,Lyon,OGC Nice,1,0,non,D,32.672,/spielbericht/index/spielbericht/1042660,1042660
2010-11,Ligue 1,14,dim. 21/11/2010,21:00,RC Lens,Lyon,1,3,non,E,32.518,/spielbericht/index/spielbericht/1042666,1042666
2010-11,UEFA Champions League,Phase de groupe,mer. 24/11/2010,20:45,FC Schalke 04,Lyon,3,0,non,E,51.132,/spielbericht/index/spielbericht/1050143,1050143
