match_id,season,competition,date,home,away,running_score,scoring_team,scorer,assist,detail
3394839,2020-21,Ligue 1,dim. 28/02/2021,Marseille,Lyon,1:1,Olympique de Marseille,Arkadiusz Milik,Pénalty: main par Lucas Paquetá,"Arkadiusz Milik , Penalty, 2. But de la saison Passe décisive: Pénalty: main par Lucas Paquetá"
3394858,2020-21,Ligue 1,mer. 03/03/2021,Lyon,Stade Rennais,1:0,Olympique Lyonnais,Houssem Aouar,Memphis Depay,"Houssem Aouar , But en contre-attaque, 5. But de la saison Passe décisive: Memphis Depay , Passe, 8. Passe décisive de la saison"
3525122,2020-21,Coupe de France,sam. 06/03/2021,Lyon,FC Sochaux,1:0,Olympique Lyonnais,Djamel Eddine Benlamri,Maxwel Cornet,"Djamel Eddine Benlamri , Tête, 1. But dans le tournoi Passe décisive: Maxwel Cornet , Corner, 1. Passe déc. du tournoi"
3525122,2020-21,Coupe de France,sam. 06/03/2021,Lyon,FC Sochaux,2:0,Olympique Lyonnais,Maxwel Cornet,Mattia De Sciglio,"Maxwel Cornet , 2. But dans le tournoi Passe décisive: Mattia De Sciglio , Centre, 2. Passe déc. du tournoi"
3525122,2020-21,Coupe de France,sam. 06/03/2021,Lyon,FC Sochaux,2:1,FC Sochaux-Montbéliard,Chris Bedia,Bryan Soumaré,"Chris Bedia , Tir du pied droit, 2. But dans le tournoi Passe décisive: Bryan Soumaré , Passe, 1. Passe déc. du tournoi"
3525122,2020-21,Coupe de France,sam. 06/03/2021,Lyon,FC Sochaux,3:1,Olympique Lyonnais,Rayan Cherki,Houssem Aouar,"Rayan Cherki , Tir du pied gauche, 2. But dans le tournoi Passe décisive: Houssem Aouar , Passe, 1. Passe déc. du tournoi"
3525122,2020-21,Coupe de France,sam. 06/03/2021,Lyon,FC Sochaux,3:2,FC Sochaux-Montbéliard,Chris Bedia,Bryan Soumaré,"Chris Bedia , Tir du pied droit, 3. But dans le tournoi Passe décisive: Bryan Soumaré , Passe, 2. Passe déc. du tournoi"
3525122,2020-21,Coupe de France,sam. 06/03/2021,Lyon,FC Sochaux,4:2,Olympique Lyonnais,Jason Denayer,Rayan Cherki,"Jason Denayer , Tête, 1. But dans le tournoi Passe décisive: Rayan Cherki , Corner, 1. Passe déc. du tournoi"
3525122,2020-21,Coupe de France,sam. 06/03/2021,Lyon,FC Sochaux,5:2,Olympique Lyonnais,Rayan Cherki,Islam Slimani,"Rayan Cherki , Tir du pied droit, 3. But dans le tournoi Passe décisive: Islam Slimani , Passe, 3. Passe déc. du tournoi"
3394891,2020-21,Ligue 1,ven. 12/03/2021,Stade de Reims,Lyon,1:0,Stade de Reims,Mathieu Cafaro,Thomas Foket,"Mathieu Cafaro , Tir du pied droit, 4. But de la saison Passe décisive: Thomas Foket , Centre, 2. Passe décisive de la saison"
3394891,2020-21,Ligue 1,ven. 12/03/2021,Stade de Reims,Lyon,1:1,Olympique Lyonnais,Tino Kadewere,Memphis Depay,"Tino Kadewere , Tête, 10. But de la saison Passe décisive: Memphis Depay , Centre, 9. Passe décisive de la saison"
3394911,2020-21,Ligue 1,dim. 21/03/2021,Lyon,PSG,0:1,Paris Saint-Germain,Kylian Mbappé,,"Kylian Mbappé , Tir du pied gauche, 19. But de la saison"
3394911,2020-21,Ligue 1,dim. 21/03/2021,Lyon,PSG,0:2,Paris Saint-Germain,Danilo Pereira,Marquinhos,"Danilo Pereira , Tir du pied droit, 2. But de la saison Passe décisive: Marquinhos , Tête, 1. Passe décisive de la saison"
3394911,2020-21,Ligue 1,dim. 21/03/2021,Lyon,PSG,0:3,Paris Saint-Germain,Ángel Di María,,"Ángel Di María , Coup-franc direct, 4. But de la saison"
3394911,2020-21,Ligue 1,dim. 21/03/2021,Lyon,PSG,0:4,Paris Saint-Germain,Kylian Mbappé,Marco Verratti,"Kylian Mbappé , But en contre-attaque, 20. But de la saison Passe décisive: Marco Verratti , Passe, 2. Passe décisive de la saison"
3394911,2020-21,Ligue 1,dim. 21/03/2021,Lyon,PSG,1:4,Olympique Lyonnais,Islam Slimani,Maxwel Cornet,"Islam Slimani , Tir du pied droit, 1. But de la saison Passe décisive: Maxwel Cornet , Passe, 7. Passe décisive de la saison"
3394911,2020-21,Ligue 1,dim. 21/03/2021,Lyon,PSG,2:4,Olympique Lyonnais,Maxwel Cornet,Rayan Cherki,"Maxwel Cornet , Tir du pied gauche, 2. But de la saison Passe décisive: Rayan Cherki , Passe, 2. Passe décisive de la saison"
3394915,2020-21,Ligue 1,sam. 03/04/2021,RC Lens,Lyon,1:0,RC Lens,Jonathan Clauss,Gaël Kakuta,"Jonathan Clauss , Tir du pied droit, 3. But de la saison Passe décisive: Gaël Kakuta , Passe, 5. Passe décisive de la saison"
3394915,2020-21,Ligue 1,sam. 03/04/2021,RC Lens,Lyon,1:1,Olympique Lyonnais,Lucas Paquetá,,"Lucas Paquetá , Tir du pied gauche, 5. But de la saison"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,0:1,Olympique Lyonnais,Lucas Paquetá,Thiago Mendes,"Lucas Paquetá , Tir du pied gauche, 1. But dans le tournoi Passe décisive: Thiago Mendes , Passe, 1. Passe déc. du tournoi"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,0:2,Olympique Lyonnais,Memphis Depay,Lucas Paquetá,"Memphis Depay , Tir du pied droit, 2. But dans le tournoi Passe décisive: Lucas Paquetá , Passe, 1. Passe déc. du tournoi"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,1:2,Red Star FC,Pape Meïssa Ba,Jimmy Roye,"Pape Meïssa Ba , Tir du pied droit, 3. But dans le tournoi Passe décisive: Jimmy Roye , Passe, 1. Passe déc. du tournoi"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,2:2,Red Star FC,Jimmy Roye,,"Jimmy Roye , Coup-franc direct, 1. But dans le tournoi"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,3:2,Red Star FC,Pape Meïssa Ba,,"Pape Meïssa Ba , But"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,3:3,Olympique Lyonnais,Bruno Guimarães,,"Bruno Guimarães , But"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,4:3,Red Star FC,Damien Durand,,"Damien Durand , But"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,4:4,Olympique Lyonnais,Lucas Paquetá,,"Lucas Paquetá , But"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,5:4,Red Star FC,Alan Dzabana,,"Alan Dzabana , But"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,5:5,Olympique Lyonnais,Marcelo,,"Marcelo , But"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,5:6,Olympique Lyonnais,Jason Denayer,,"Jason Denayer , But"
3532739,2020-21,Coupe de France,jeu. 08/04/2021,Red Star FC,Lyon,6:6,Red Star FC,Cheikh N'Doye,,"Cheikh N'Doye , But"
