match_id,side,minute,player_in,player_out,reason
4635062,ol,2,Pavel Sulc,Tanner Tessmann,Tactique
4715963,adv,57,Kerim Alajbegovic,Moussa Yeo,Tactique
4715963,adv,57,Sota Kitano,Mamady Diambou,Tactique
4715963,adv,57,Edmund Baidoo,Yorbe Vertessen,Tactique
4715963,ol,67,Malick Fofana,Adam Karabec,Tactique
4715963,ol,67,Ainsley Maitland-Niles,Nicolás Tagliafico,Tactique
4715963,adv,67,Karim Onisiwo,Petar Ratkov,Tactique
4715963,ol,68,Tyler Morton,Tanner Tessmann,Tactique
4715963,ol,76,Enzo Molebe,Martín Satriano,Tactique
4715963,adv,81,Frans Krätzig,Aleksa Terzić,Tactique
4715963,ol,86,Khalis Merah,Corentin Tolisso,Tactique
4635058,adv,73,Nabil Bentaleb,Ngal'ayel Mukau,Tactique
4635058,adv,73,Osame Sahraoui,Félix Correia,Tactique
4635058,ol,74,Pavel Sulc,Khalis Merah,Tactique
4635058,ol,74,Afonso Moreira,Adam Karabec,Tactique
4635058,adv,78,Hamza Igamane,Ayyoub Bouaddi,Tactique
4635058,ol,2,Mathys de Carvalho,Malick Fofana,Tactique
4635058,adv,2,Ethan Mbappé,Tiago Santos,Blessure
4716044,ol,64,Ainsley Maitland-Niles,Nicolás Tagliafico,Tactique
4716044,ol,64,Afonso Moreira,Malick Fofana,Tactique
4716044,ol,64,Rachid Ghezzal,Adam Karabec,Tactique
4716044,ol,64,Tanner Tessmann,Tyler Morton,Tactique
4716044,adv,79,Adrian Blake,Derry Murkin,Tactique
4716044,adv,79,David Min,Niklas Vesterlund,Tactique
4716044,adv,88,Mike Eerdhuijzen,Nick Viergever,Tactique
4716044,ol,3,Khalis Merah,Pavel Sulc,Tactique
4635049,adv,60,Himad Abdelli,Louis Mouton,Tactique
4635049,adv,61,Sidiki Chérif,Justin Kalumba,Tactique
4635049,ol,63,Pavel Sulc,Khalis Merah,Tactique
4635049,ol,80,Mathys de Carvalho,Corentin Tolisso,Tactique
4635049,ol,80,Enzo Molebe,Martín Satriano,Tactique
4635049,adv,81,Pierrick Capelle,Yassin Belkhdim,Tactique
4635049,adv,89,Lanroy Machine,Lilian Raolisoa,Tactique
4635049,ol,2,Rachid Ghezzal,Adam Karabec,Tactique
4635049,ol,2,Afonso Moreira,Malick Fofana,Tactique
4635041,adv,45,Mousa Al-Tamari,Przemyslaw Frankowski,Tactique
4635041,adv,45,Alidu Seidu,Abdelhamid Ait Boudlal,Tactique
4635041,ol,66,Rachid Ghezzal,Adam Karabec,Blessure
4635041,adv,68,Seko Fofana,Djaoui Cissé,Tactique
4635041,adv,68,Kader Meïté,Breel Embolo,Tactique
4635041,ol,74,Pavel Sulc,Khalis Merah,Tactique
4635041,ol,84,Ruben Kluivert,Malick Fofana,Tactique
4635041,adv,9,Mahamadou Nagida,Ludovic Blas,Tactique
4635032,adv,33,Derek Cornelius,Bilal Nadir,Tactique
4635032,adv,45,Ulisses Garcia,Mason Greenwood,Tactique
4635032,ol,52,Nicolás Tagliafico,Malick Fofana,Blessure
4635032,ol,70,Pavel Sulc,Khalis Merah,Tactique
4635032,ol,70,Afonso Moreira,Abner,Tactique
4635032,adv,71,Pol Lirola,Timothy Weah,Tactique
4635032,adv,84,Robinio Vaz,Pierre-Emerick Aubameyang,Tactique
4635032,adv,85,Darryl Bakola,Hamed Traoré,Blessure
4635032,ol,2,Ruben Kluivert,Adam Karabec,Tactique
4635021,adv,40,Alpha Touré,Michel Mboula,Blessure
4635021,adv,61,Ibou Sané,Giorgi Tsitaishvili,Tactique
4635021,adv,61,Morgan Bokele,Giorgi Abuashvili,Tactique
